Complete Name,Location Name,Parent Location,Location Type,Is a Scrap Location,Is a Return Location,Barcode
Stock/Large Items / Machines/C-188,C-188 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-188
Stock/Large Items / Machines/C-189,C-189 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-189
Stock/Large Items / Machines/C-19,"C-19 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-19
Stock/Large Items / Machines/C-190,C-190 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-190
Stock/Large Items / Machines/C-191,C-191 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-191
Stock/Large Items / Machines/C-192,C-192 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-192
Stock/Large Items / Machines/C-193,C-193 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-193
Stock/Large Items / Machines/C-194,C-194 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-194
Stock/Large Items / Machines/C-195,C-195 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-195
Stock/Large Items / Machines/C-196,C-196 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-196
Stock/Large Items / Machines/C-197,C-197 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-197
Stock/Large Items / Machines/C-198,C-198 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-198
Stock/Large Items / Machines/C-199,C-199 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-199
Stock/Large Items / Machines/C-20,"C-20 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-20
Stock/Large Items / Machines/C-200,C-200 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-200
Stock/Large Items / Machines/C-201,C-201 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-201
Stock/Large Items / Machines/C-202,C-202 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-202
Stock/Large Items / Machines/C-203,C-203 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-203
Stock/Large Items / Machines/C-204,C-204 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-204
Stock/Large Items / Machines/C-205,C-205 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-205
Stock/Large Items / Machines/C-206,C-206 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-206
Stock/Large Items / Machines/C-207,C-207 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-207
Stock/Large Items / Machines/C-208,C-208 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-208
Stock/Large Items / Machines/C-209,C-209 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-209
Stock/Large Items / Machines/C-21,"C-21 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-21
Stock/Large Items / Machines/C-210,C-210 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-210
Stock/Large Items / Machines/C-211,C-211 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-211
Stock/Large Items / Machines/C-212,C-212 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-212
Stock/Large Items / Machines/C-213,C-213 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-213
Stock/Large Items / Machines/C-214,C-214 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-214
Stock/Large Items / Machines/C-215,C-215 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-215
Stock/Large Items / Machines/C-216,C-216 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-216
Stock/Large Items / Machines/C-22,"C-22 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-22
Stock/Large Items / Machines/C-23,"C-23 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-23
Stock/Large Items / Machines/C-24,"C-24 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-24
Stock/Large Items / Machines/C-25,"C-25 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-25
Stock/Large Items / Machines/C-26,"C-26 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-26
Stock/Large Items / Machines/C-27,"C-27 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-27
Stock/Large Items / Machines/C-28,"C-28 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-28
Stock/Large Items / Machines/C-29,"C-29 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-29
Stock/Large Items / Machines/C-30,"C-30 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-30
Stock/Large Items / Machines/C-31,"C-31 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-31
Stock/Large Items / Machines/C-32,"C-32 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-32
Stock/Large Items / Machines/C-33,"C-33 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-33
Stock/Large Items / Machines/C-34,"C-34 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-34
Stock/Large Items / Machines/C-35,C-35 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-35
Stock/Large Items / Machines/C-36,C-36 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-36
Stock/Large Items / Machines/C-37,C-37 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-37
Stock/Large Items / Machines/C-38,C-38 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-38
Stock/Large Items / Machines/C-39,C-39 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-39
Stock/Large Items / Machines/C-40,C-40 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-40
Stock/Large Items / Machines/C-41,C-41 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-41
